Season,Episode,Character,Appearance_Type
6,Lois Kills Stewie (Part 2),Stewie Griffin,Featuring
6,Lois Kills Stewie (Part 2),Lois Griffin,Featuring
6,Lois Kills Stewie (Part 2),Brian Griffin,Featuring
6,Padre de Familia,Peter Griffin,Featuring
6,Peter's Daughter,Peter Griffin,Featuring
6,Peter's Daughter,Meg Griffin,Featuring
6,Peter's Daughter,Stewie Griffin,Featuring
6,Peter's Daughter,Brian Griffin,Featuring
6,Peter's Daughter,Michael Milano,Featuring
6,McStroke,Peter Griffin,Featuring
6,Back to the Woods,Peter Griffin,Featuring
6,Back to the Woods,James Woods,Featuring
6,"Play It Again, Brian",Peter Griffin,Featuring
6,"Play It Again, Brian",Lois Griffin,Featuring
6,"Play It Again, Brian",Brian Griffin,Featuring
6,The Former Life of Brian,Brian Griffin,Featuring
6,The Former Life of Brian,Dylan Flannigan,Featuring
6,The Former Life of Brian,Stewie Griffin,Featuring
6,Long John Peter,Peter Griffin,Featuring
6,Long John Peter,Chris Griffin,Featuring
6,Long John Peter,Anna,Featuring
7,"Love, Blactually",Brian Griffin,Featuring
7,"Love, Blactually",Stewie Griffin,Featuring
7,"Love, Blactually",Carolyn,Featuring
7,"Love, Blactually",Cleveland Brown,Featuring
7,I Dream of Jesus,Peter Griffin,Featuring
7,I Dream of Jesus,Jesus Christ,Featuring
7,Road to Germany,Brian Griffin,Featuring
7,Road to Germany,Stewie Griffin,Featuring
7,Road to Germany,Mort Goldman,Featuring
7,Baby Not on Board,Peter Griffin,Featuring
7,Baby Not on Board,Lois Griffin,Featuring
7,Baby Not on Board,Brian Griffin,Featuring
7,Baby Not on Board,Stewie Griffin,Featuring
7,Baby Not on Board,Chris Griffin,Featuring
7,Baby Not on Board,Meg Griffin,Featuring
7,The Man with Two Brians,Peter Griffin,Featuring
7,The Man with Two Brians,Brian Griffin,Featuring
7,The Man with Two Brians,Stewie Griffin,Featuring
7,The Man with Two Brians,New Brian,Featuring
7,Tales of a Third Grade Nothing,Peter Griffin,Featuring
7,Tales of a Third Grade Nothing,Brian Griffin,Featuring
7,Tales of a Third Grade Nothing,Stewie Griffin,Featuring
7,Tales of a Third Grade Nothing,Frank Sinatra,Featuring
7,Tales of a Third Grade Nothing,Jr.,Featuring
7,Ocean's Three and a Half,Peter Griffin,Featuring
7,Ocean's Three and a Half,Bonnie Swanson,Featuring
7,Ocean's Three and a Half,Joe Swanson,Featuring
7,Ocean's Three and a Half,Susie Swanson,Featuring
7,Family Gay,Peter Griffin,Featuring
7,Family Gay,Lois Griffin,Featuring
7,Family Gay,'Til Death,Featuring
7,The Juice Is Loose,Peter Griffin,Featuring
7,The Juice Is Loose,Lois Griffin,Featuring
7,The Juice Is Loose,Chris Griffin,Featuring
7,The Juice Is Loose,Meg Griffin,Featuring
7,The Juice Is Loose,Stewie Griffin,Featuring
7,The Juice Is Loose,Brian Griffin,Featuring
7,The Juice Is Loose,O.J. Simpson,Featuring
7,Fox-y Lady,Peter Griffin,Featuring
7,Fox-y Lady,Lois Griffin,Featuring
7,Fox-y Lady,Meg Griffin,Featuring
7,Fox-y Lady,Chris Griffin,Featuring
7,Fox-y Lady,Brian Griffin,Featuring
7,Fox-y Lady,Stewie Griffin,Featuring
7,Not All Dogs Go to Heaven,Meg Griffin,Featuring
7,Not All Dogs Go to Heaven,Stewie Griffin,Featuring
7,Not All Dogs Go to Heaven,Brian Griffin,Featuring
7,420,Stewie Griffin,Featuring
7,420,Brian Griffin,Featuring
7,420,Peter Griffin,Featuring
7,Stew-Roids,Chris Griffin,Featuring
7,Stew-Roids,Stewie Griffin,Featuring
7,Stew-Roids,Connie DiMico.,Featuring
7,"We Love You, Conrad",Brian Griffin,Featuring
7,"We Love You, Conrad",Lauren Conrad,Featuring
7,"We Love You, Conrad",Derek Wilcox,Featuring
7,"We Love You, Conrad",Jillian Russell,Featuring
7,Three Kings,Peter Griffin,Featuring
7,Three Kings,"Richard Dreyfuss as ""The Writer"" (Adult Petey LaChance)",Featuring
7,Three Kings,Cleveland Brown,Featuring
7,Three Kings,Joe Swanson,Featuring
7,Three Kings,Brian Griffin,Featuring
7,Three Kings,Stewie Griffin,Featuring
7,Three Kings,Quagmire,Featuring
7,Three Kings,Lois Griffin,Featuring
7,Three Kings,Dr. Hartman (DVD Only),Featuring
7,Three Kings,Mayor Adam West as Ace Merill,Featuring
7,Three Kings,Carter Pewterschmidt as Warden Samuel Norton,Featuring
7,Three Kings,Seamus as Captain Byron Hadley,Featuring
7,Three Kings,Meg Griffin,Featuring
7,Peter's Progress,Peter Griffin,Featuring
7,Peter's Progress,Griffin Peterson,Featuring
7,Peter's Progress,Lady Redbush,Featuring
7,Peter's Progress,Brian Griffin,Featuring
7,Peter's Progress,King Stewart III,Featuring
8,Road to the Multiverse,Stewie Griffin,Featuring
8,Road to the Multiverse,Brian Griffin,Featuring
8,Family Goy,Lois Griffin,Featuring
8,Family Goy,Peter Griffin,Featuring
8,Spies Reminiscent of Us,Stewie Griffin,Featuring
8,Spies Reminiscent of Us,Brian Griffin,Featuring
8,Spies Reminiscent of Us,Chevy Chase,Featuring
8,Spies Reminiscent of Us,Dan Aykroyd,Featuring
